Highest Layer,Transport Layer,Source IP,Dest IP,Source Port,Dest Port,Packet Length,Packets/Time,target
TCP,TCP,1,192.168.1.1,49288,80,66,7.0594249624965695,1
TCP,TCP,1,192.168.1.1,49294,80,66,7.036467640235498,1
BOOTP,UDP,1,255.255.255.255,68,67,331,7.044509317538624,1
TCP,TCP,1,192.168.1.1,49374,80,62,7.052550994841751,1
TCP,TCP,1,192.168.1.1,49488,80,66,7.060592672144877,1
TCP,TCP,1,192.168.1.1,49289,80,66,7.068634349448003,1
BOOTP,UDP,1,255.255.255.255,68,67,342,7.046617359269784,1
TCP,TCP,1,192.168.1.1,49295,80,66,7.0546248789962265,1
TCP,TCP,1,192.168.1.1,49477,80,62,7.06263239872267,1
TCP,TCP,1,192.168.1.1,49489,80,66,7.070639918449113,1
TCP,TCP,1,192.168.1.1,49290,80,66,7.0786474381755555,1
TCP,TCP,1,192.168.1.1,49296,80,66,7.086654957901999,1
TCP,TCP,1,192.168.1.1,49478,80,62,7.0646548574021475,1
TCP,TCP,1,192.168.1.1,49490,80,66,7.072628508482737,1
TCP,TCP,1,192.168.1.1,49291,80,66,7.079721441560805,1
TCP,TCP,1,192.168.1.1,49297,80,66,7.087694100841842,1
TCP,TCP,1,192.168.1.1,49479,80,62,7.066660293113371,1
TCP,TCP,1,192.168.1.1,49491,80,66,7.074600360858442,1
TCP,TCP,1,192.168.1.1,49292,80,66,7.0825404286035125,1
TCP,TCP,1,192.168.1.1,49298,80,66,7.089602263746247,1
TCP,TCP,1,192.168.1.1,49480,80,62,7.0686488934065075,1
TCP,TCP,1,192.168.1.1,49293,80,66,7.076555659506515,1
TCP,TCP,1,192.168.1.1,49299,80,66,7.084462425606522,1
TCP,TCP,1,192.168.1.1,49481,80,62,7.062747153116209,1
TCP,TCP,1,192.168.1.1,49294,80,66,7.070620895761824,1
TCP,TCP,1,192.168.1.1,49300,80,66,7.078494638407438,1
TCP,TCP,1,192.168.1.1,49482,80,62,7.05689449308866,1
TCP,TCP,1,192.168.1.1,49295,80,66,7.0647354869698695,1
TCP,TCP,1,192.168.1.1,49301,80,66,7.07257648085108,1
BOOTP,UDP,1,255.255.255.255,68,67,331,7.051090316610752,1
TCP,TCP,1,192.168.1.1,49483,80,62,7.05889883301896,1
TCP,TCP,1,192.168.1.1,49296,80,66,7.066707349427166,1
TCP,TCP,1,192.168.1.1,49484,80,62,7.074515865835373,1
DHCPV6,TCP,1,ff02::1:2,546,547,155,7.053110343655592,1
DHCPV6,TCP,1,ff02::1:2,546,547,155,7.060886650539446,1
TCP,TCP,1,192.168.1.1,49297,80,66,7.0686629574233,1
TCP,TCP,1,192.168.1.1,49485,80,62,7.0764392643071545,1
TCP,TCP,1,192.168.1.1,49298,80,66,7.055113761223274,1
TCP,TCP,1,192.168.1.1,49486,80,62,7.062858123200468,1
TCP,TCP,1,192.168.1.1,49287,80,62,7.041675442175353,1
TCP,TCP,1,192.168.1.1,49299,80,66,7.04938812064433,1
TCP,TCP,1,192.168.1.1,49487,80,62,7.0571007991133055,1
TCP,TCP,1,192.168.1.1,49288,80,62,7.035184787873186,1
TCP,TCP,1,192.168.1.1,49375,80,66,7.042865120611039,1
TCP,TCP,1,192.168.1.1,49300,80,66,7.049700730595358,1
TCP,TCP,1,192.168.1.1,49488,80,62,7.057380143155919,1
TCP,TCP,1,192.168.1.1,49289,80,62,7.037236325355552,1
TCP,TCP,1,192.168.1.1,49376,80,66,7.044885495274417,1
TCP,TCP,1,192.168.1.1,49301,80,66,7.052534665193281,1
TCP,TCP,1,192.168.1.1,49489,80,62,7.0316530102229295,1
TCP,TCP,1,192.168.1.1,49290,80,62,7.03927126917225,1
TCP,TCP,1,192.168.1.1,49377,80,66,7.046052079024856,1
TCP,TCP,1,192.168.1.1,49378,80,66,7.053669432623803,1
TCP,TCP,1,192.168.1.1,49379,80,66,7.061286786222748,1
TCP,TCP,1,192.168.1.1,49380,80,66,7.041289857885548,1
TCP,TCP,1,192.168.1.1,49490,80,62,7.048877454715167,1
TCP,TCP,1,192.168.1.1,49291,80,62,7.055629813734994,1
BOOTP,UDP,1,255.255.255.255,68,67,342,7.06321651245944,1
BOOTP,UDP,1,255.255.255.255,68,67,331,7.070803211183886,1
TCP,TCP,1,192.168.1.1,49491,80,62,7.077552188923493,1
TCP,TCP,1,192.168.1.1,49381,80,66,7.08513798976907,1
TCP,TCP,1,192.168.1.1,49292,80,62,7.065963778979872,1
TCP,TCP,1,192.168.1.1,49382,80,66,7.073520959492149,1
TCP,TCP,1,192.168.1.1,49293,80,62,7.052805634344274,1
TCP,TCP,1,192.168.1.1,49383,80,66,7.060332641424684,1
TCP,TCP,1,192.168.1.1,49375,80,66,7.039752157059109,1
TCP,TCP,1,192.168.1.1,49294,80,62,7.047249230708799,1
TCP,TCP,1,192.168.1.1,49384,80,66,7.054746304358489,1
TCP,TCP,1,192.168.1.1,49295,80,62,7.062243378008179,1
TCP,TCP,1,192.168.1.1,49376,80,66,7.041736832938651,1
TCP,TCP,1,192.168.1.1,49385,80,66,7.049204210280049,1
TCP,TCP,1,192.168.1.1,49296,80,62,7.056671587621447,1
TCP,TCP,1,192.168.1.1,49377,80,66,7.035451538218757,1
TCP,TCP,1,192.168.1.1,49378,80,66,7.042888590584739,1
TCP,TCP,1,192.168.1.1,49379,80,66,7.0495076998289345,1
TCP,TCP,1,192.168.1.1,49380,80,66,7.056943889385716,1
TCP,TCP,1,192.168.1.1,49386,80,66,7.064380078942498,1
TCP,TCP,1,192.168.1.1,49297,80,62,7.071816268499279,1
TCP,TCP,1,192.168.1.1,49381,80,66,7.052252943875709,1
TCP,TCP,1,192.168.1.1,49387,80,66,7.058844964425294,1
TCP,TCP,1,192.168.1.1,49298,80,62,7.066251937105698,1
TCP,TCP,1,192.168.1.1,49382,80,66,7.046786336109346,1
TCP,TCP,1,192.168.1.1,49299,80,62,7.0541651699691466,1
TCP,TCP,1,192.168.1.1,49388,80,66,7.034012277605828,1
TCP,TCP,1,192.168.1.1,49383,80,66,7.041362342681696,1
TCP,TCP,1,192.168.1.1,49300,80,62,7.047904215559881,1
TCP,TCP,1,192.168.1.1,49389,80,66,7.055253437891018,1
ARP,TCP,1,192.168.1.1,0,0,60,7.062602660222154,1
ARP,TCP,0,192.168.1.10,0,0,42,7.042497563295799,0
TCP,TCP,1,192.168.1.1,49384,80,66,7.049818246833529,1
BOOTP,UDP,1,255.255.255.255,68,67,342,7.057138930371258,1
TCP,TCP,1,192.168.1.1,49301,80,62,7.0636528537240295,1
TCP,TCP,1,192.168.1.1,49492,80,66,7.070972701240842,1
TCP,TCP,1,192.168.1.1,49385,80,66,7.051717482584484,1
TCP,TCP,1,192.168.1.1,49493,80,66,7.059009848130073,1
TCP,TCP,1,192.168.1.1,49386,80,66,7.066302213675662,1
TCP,TCP,1,192.168.1.1,49494,80,66,7.046337803648159,1
TCP,TCP,1,192.168.1.1,49387,80,66,7.053602069425116,1
TCP,TCP,1,192.168.1.1,49495,80,66,7.033763055149668,1
TCP,TCP,1,192.168.1.1,49388,80,66,7.014075751354436,1
TCP,TCP,1,192.168.1.1,49496,80,66,7.021284462301358,1
ARP,TCP,1,192.168.1.1,0,0,60,7.028493173248279,1
ARP,TCP,0,192.168.1.11,0,0,42,7.0357018841952,0
TCP,TCP,1,192.168.1.1,49375,80,62,7.01608220129063,1
TCP,TCP,1,192.168.1.1,49389,80,66,7.023263452264316,1
TCP,TCP,1,192.168.1.1,49497,80,66,7.029657129752103,1
TCP,TCP,1,192.168.1.1,49376,80,62,7.036837576258489,1
TCP,TCP,1,192.168.1.1,49492,80,66,7.0180734229901915,1
TCP,TCP,1,192.168.1.1,49498,80,66,7.025227422402006,1
TCP,TCP,1,192.168.1.1,49377,80,62,7.032381421813821,1
TCP,TCP,1,192.168.1.1,49493,80,66,7.01370249188959,1
TCP,TCP,1,192.168.1.1,49499,80,66,7.020049589163011,1
TCP,TCP,1,192.168.1.1,49378,80,62,7.027176543060639,1
TCP,TCP,1,192.168.1.1,49379,80,62,7.034303496958266,1
TCP,TCP,1,192.168.1.1,49380,80,62,7.0406475981936225,1
